time,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,gripper_position_left,gripper_position_right
1752586352.700603,0.01802128553390503,-49.16805648803711,4.431009292602539,23.41074562072754,0.2764124274253845,1.5000970363616943,0.21439778804779053,0.011233597062528133,0.011233597062528133
1752586352.7343316,0.44252079725265503,-49.16805648803711,4.534158706665039,23.46232032775879,0.2700037360191345,1.4552361965179443,0.17503011226654053,0.011240162886679173,0.011240162886679173
1752586352.7687788,0.569473922252655,-49.21963119506836,4.768228530883789,22.87912940979004,0.3029627203941345,1.3261468410491943,0.07706869393587112,0.011240162886679173,0.011240162886679173
1752586352.8028703,0.894791305065155,-48.68404769897461,4.819803237915039,22.77994728088379,0.2901453375816345,1.3581902980804443,0.004742033779621124,0.011240162886679173,0.011240162886679173
1752586352.8366716,0.31953495740890503,-49.78298568725586,4.585733413696289,23.69242286682129,0.2901453375816345,1.4488275051116943,-0.07307779043912888,0.011240162886679173,0.011240162886679173
1752586352.8705213,-0.585006058216095,-50.98110580444336,4.248514175415039,23.79160499572754,0.2965540289878845,1.4424188137054443,-0.07307779043912888,0.011240162886679173,0.011240162886679173
1752586352.905615,-0.48582392930984497,-49.83059310913086,4.224710464477539,23.43851661682129,0.24345344305038452,1.3902337551116943,-0.07307779043912888,0.011240162886679173,0.011240162886679173
1752586352.939507,0.04182499647140503,-48.70785140991211,4.248514175415039,22.72837257385254,0.20408576726913452,1.1778314113616943,-0.09321939200162888,0.011247058399021626,0.011247058399021626
1752586352.9734347,0.21638554334640503,-49.32278060913086,4.403238296508789,22.98227882385254,0.22422736883163452,1.2675530910491943,-0.12526285648345947,0.011247058399021626,0.011247058399021626
1752586353.0076625,0.36714237928390503,-50.65182113647461,4.585733413696289,23.31156349182129,0.24986213445663452,1.2226922512054443,-0.15822184085845947,0.011247058399021626,0.011247058399021626
1752586353.0423794,0.44252079725265503,-49.39815902709961,4.506387710571289,23.16080665588379,0.2635950446128845,1.2611443996429443,-0.15822184085845947,0.011247058399021626,0.011247058399021626
1752586353.076782,-0.005782425403594971,-48.86257553100586,4.224710464477539,22.52604103088379,0.23704475164413452,1.1512811183929443,-0.17744791507720947,0.011247058399021626,0.011247058399021626
1752586353.1109428,-0.18431025743484497,-49.98531723022461,4.224710464477539,23.38694190979004,0.2635950446128845,1.2419183254241943,-0.20399820804595947,0.011247058399021626,0.011247058399021626
1752586353.1446114,-0.25968867540359497,-51.18740463256836,4.327859878540039,23.94236183166504,0.2901453375816345,1.3133294582366943,-0.20399820804595947,0.011250997893512249,0.011250997893512249
1752586353.1785302,0.06959599256515503,-51.08425521850586,4.431009292602539,23.49009132385254,0.2635950446128845,1.2611443996429443,-0.19758951663970947,0.011250997893512249,0.011250997893512249
1752586353.212509,0.41871708631515503,-49.98531723022461,4.506387710571289,23.20841407775879,0.2901453375816345,1.2162835597991943,-0.21681559085845947,0.011250997893512249,0.011250997893512249
1752586353.2465262,0.39491337537765503,-49.55288314819336,4.431009292602539,22.90690040588379,0.2837366461753845,1.2034661769866943,-0.20399820804595947,0.011250997893512249,0.011250997893512249
1752586353.2805545,0.26796025037765503,-49.78298568725586,4.482583999633789,22.90690040588379,0.3102869391441345,1.2162835597991943,-0.23054850101470947,0.011250997893512249,0.011250997893512249
1752586353.3144345,0.11720341444015503,-50.03689193725586,4.379434585571289,23.33536720275879,0.2965540289878845,1.2867791652679443,-0.20399820804595947,0.011250997893512249,0.011250997893512249
1752586353.3487194,-0.18431025743484497,-50.14004135131836,4.276285171508789,23.31156349182129,0.2837366461753845,1.2867791652679443,-0.21681559085845947,0.011254938319325447,0.011254938319325447
1752586353.3827064,-0.15653926134109497,-50.88192367553711,4.327859878540039,23.56546974182129,0.2700037360191345,1.2803704738616943,-0.22322428226470947,0.011254938319325447,0.011254938319325447
1752586353.416637,0.06959599256515503,-50.90572738647461,4.379434585571289,23.46232032775879,0.24986213445663452,1.2547357082366943,-0.23054850101470947,0.011254938319325447,0.011254938319325447
1752586353.450863,0.19258183240890503,-50.26699447631836,4.379434585571289,23.23618507385254,0.24986213445663452,1.2226922512054443,-0.21040689945220947,0.011254938319325447,0.011254938319325447
1752586353.4846826,0.14497441053390503,-50.46932601928711,4.351663589477539,23.41074562072754,0.23063606023788452,1.2611443996429443,-0.23695719242095947,0.011254938319325447,0.011254938319325447
1752586353.5187035,-0.08116084337234497,-50.85415267944336,4.327859878540039,23.58927345275879,0.2635950446128845,1.2739617824554443,-0.2690006494522095,0.011254938319325447,0.011254938319325447
1752586353.552562,-0.10893183946609497,-51.26278305053711,4.300088882446289,23.58927345275879,0.23704475164413452,1.2419183254241943,-0.24977457523345947,0.011257893405854702,0.011257893405854702
1752586353.586525,0.11720341444015503,-51.11202621459961,4.379434585571289,23.53769874572754,0.22422736883163452,1.2226922512054443,-0.2625919580459595,0.011257893405854702,0.011257893405854702
1752586353.6204193,0.16877812147140503,-51.23897933959961,4.403238296508789,23.61704444885254,0.22422736883163452,1.1842401027679443,-0.2625919580459595,0.011257893405854702,0.011257893405854702
